CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
Swissotel The Stamford Hotel,"$2.20 for 1st 1hr, $0.55 for next subsequent 15min from 8am to 6pm",$3.00/entry from 6pm to 8am the following day,"$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 8am the following day","$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 8am the following day","2 Stamford Road, S(178882)","1.2933597,103.8531036"
Tagore 23 Warehouse,"$1.33 for 1st hr, $0.74 for next subsequent 30min from 7.01am to 6pm",$2.62/entry from 6.01pm to 7am the following day,Charges same as weekdays,$2.62/entry from 7.01am to 7am the following day,"23 Tagore Lane, S(787601)","1.3851545,103.8282377"
Tagore Industrial Building,$0.60/30min from 8am to 4.59pm,$2.40/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,"6 Tagore Drive, S(787623)","1.386629,103.8267886"
Tai Seng Centre,$1.20/hr from 7am to 5pm,$1.20/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"3 Irving Road, S(369522)
","1.3358844,103.8869411"
Tai Seng Point,$1.20/hr from 7am to 5pm,$1.20/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"11 Irving Place, S(369551)
","1.3361186,103.8866127"
"Takashimaya, Ngee Ann City",$1.28/30min (from 12.01am-12pm & 2.01pm-5pm) $1.82/30min (from 12.01pm-2pm),"$1.82/30min (from 12.01pm-2pm & 5.01pm-7pm), $4.28/entry from (7.01pm-12midnight)","$2.57 for 1st hr, $1.61/30min (from 12.01am-12pm & 2.01pm-5pm), $3.64 for 1st hr, $2.14/30min (from 12.01pm-2pm & 5.01pm-7pm), $4.28/entry from (7.01pm-12midnight)","$2.57 for 1st hr, $1.61/30min (from 12.01am-12pm & 2.01pm-5pm), $3.64 for 1st hr, $2.14/30min (from 12.01pm-2pm & 5.01pm-7pm), $4.28/entry from (7.01pm-12midnight)","391 Orchard Road, S(238872)","1.3026716,103.8343967"
Taman Jurong Shopping Centre,$0.60/30min from 7am to 5.59pm,"$0.60/30min up to a maximum charge of $1.50 from 6pm to 10.29pm, $0.60/30min up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day","$0.60/30min up to a maximum charge of $1.50 from 7am to 10.30pm, $0.60/30min up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day","$0.60/30min up to a maximum charge of $1.50 from 7am to 10.30pm, $0.60/30min up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day","399 Yung Sheng Road, S(610399)","1.3345709,103.72059"
Tampines 1,"$1.28 for 1st hr, $0.68/30min from 6am to 6pm",$2.57/entry from 6.01pm to 5.59am the following day,"$1.28 for 1st hr, $0.86/30min from 6am to 6pm, $2.57/entry from 6.01pm to 5.59am the following day","$1.28 for 1st hr, $0.86/30min from 6am to 6pm, $2.57/entry from 6.01pm to 5.59am the following day","10 Tampines Central 1, S(529536)","1.354212,103.9450352"
Tampines Concourse,"$2.14 for 1st hr, $1.07 for next subsequent 30min from 7.01am to 6pm",$2.67/entry from 6.01pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"11 Tampines Concourse, S(528729)","1.356359,103.940956"
Tampines Mall,"$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Fri and Eve of PH","$2.57/entry from 6pm to 11.59pm from Mon to Thurs, $2.57/entry from 6 pm to 2.59am on Fri and Eve of PH","$2.57 for 1st 2hr, $0.43 for next subsequent 15min from 3am to 5.59pm. $2.57/entry from 6pm to 2.59am the following day","$2.57 for 1st 2hr, $0.43 for next subsequent 15min from 3am to 5.59pm. $2.57/entry from 6pm to 11.59pm","4 Tampines Central 5, S(529510)","1.3524573,103.9446726"
Tampines Mart,$0.70/30min from 8am to 5pm,$0.70/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"11 Tampines Street 32, S(529287)","1.3544637,103.9600121"
Tampines Plaza,$1.00/30min from 7am to 5pm,$2.50/entry from 5pm to 7am the following day,Charges same as weekdays,$2.50/entry from 7am to 7am the following day,"5 Tampines Central 1, S(529541)","1.3530909,103.9427236"
Tampines Stadium / Sports Hall / ClubFITT Gym,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"25 Tampines Street 82, S(528988)","1.352771,103.940312"
Tan Boon Liat Building,"$1.28/hr from 7am to 7pm for cars, $2.57/hr from 7am to 7pm for commercial vehicles","$1.28/hr from 7am to 7pm for cars, $2.57/hr from 7am to 7pm for commercial vehicles",Charges same as weekdays,Charges same as weekdays,"315 Outram Road, S(169074) ","1.2873156,103.8340344"
Tan Chong Industrial Park,$2.14/hr from 7am to 5pm,"$2.14/hr from 5pm to 12am, $4.28/hr from 12am to 7am the following day",Charges same as Weekdays,Charges same as Weekdays,"798 Upper Bukit Timah Road, S(678138)","1.3735059,103.763909"
Tan Tock Seng Hospital (TTSH),$0.04/min from 7am to 6pm,$2.40/entry from 6pm to 7am the following day,Charges same as weekdays,$2.40/entry from 7am to 7am the following day,"11 Jalan Tan Tock Seng, S(308433)","1.3209662,103.8466251"
Tanah Merah Ferry Terminal,$1.50/hr up to a maximum charge of $28/day,$1.50/hr up to a maximum charge of $28/day,Charges same as weekdays,Charges same as weekdays,"50 Tanah Merah Ferry Road, S(498833)","1.3140491,103.9886899"
Tang Plaza,"$2.00 for 1st hr, $0.05/min up to a maximum charge of $18.00 from 6am to 6pm",$6.00/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays,"320 Orchard Road, S(238865)","1.3049283,103.8331385"
Tanglin Mall,"$2.40 for 1st hr, $1.20 for subsequent 30min from 6.01am to 5pm",$3.50/entry from 5.01pm to 6am the following day,"$2.40 for 1st hr, $1.20 for subsequent 30min from 6.01am to 1pm, $3.50/entry from 1.01pm to 6am the following day",$3.50/entry from 6.01am to 6am the following day,"163 Tanglin Road, S(247933)","1.3048533,103.8236186"
Tanglin Post Office,"$2.40 for 1st hr, $1.20 for next subsequent 30min from 6.01am to 5pm",$3.50/entry from 5.01pm to 6am the following day,"$2.40 for 1st hr, $1.20 for next subsequent 30min from 6.01am to 1pm, $3.50/entry from 1.01pm to 6am the following day",$3.50/entry from 6.01am to 6am the following day,"56 Tanglin Road, S(247964)","1.3056253,103.8229393"
Tanglin Public Golf Course & Tennis Courts,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"130E Minden Road, S(248819)","1.3058732,103.8155189"
Tanglin Shopping Centre,"$3.50 for 1st hr, $1.75 for next subsequent 30min from 8am to 5.59pm",$3.60/entry from 6pm to 7.59am the following day,Charges same as Weekdays,$3.60/entry from 8am to 7.59am the following day,"19 Tanglin Road, S(247909)","1.3062265,103.8266074"
Tanjong Katong Complex,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"845 Geylang Road, S(400845)","1.3163817,103.8943724"
Tanjong Pagar Complex,"$1.29 for 1st 30min, $0.43 for every 10min thereafter from 7am to7pm",$2.14/entry from 7pm to 7am the following day,"$1.29 for 1st 30min, $0.43 for every 10min thereafter from 7am to 1pm, $2.14/entry from 1pm to 7am the following day",$2.14/entry from 7am to 7am the following day,"7 Keppel Road, S(089053)","1.271418,103.842329"
Tanjong Pagar Plaza,$1.20/30min from 7am to 5pm,"$0.60/30min from 5pm to 10.30pm, $0.60/30min from 10.30pm to 7am the following day capped at $5.00",Charges same as weekdays,"$0.60/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day capped at $5.00","1 Tanjong Pagar Plaza, S(082001)","1.2748632,103.8426344"
Tanjong Pagar Railway Station,Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,"30 Keppel Road, S(089059)","1.2726498,103.837141"
Tat Ann Building,$0.70/30min from 7am to 6pm,$3.00/entry from 6pm to 7am the following day,"$1.00/30min from 7am to 6pm, $3.00/entry from 6pm to 7am the following day",$3.00/entry from 7am to 7am the following day,"40 Jalan Pemimpin, S(577185)","1.3489608,103.8420992"
Techlink,"$2.14 for 1st hr, $1.60 for next subsequent 30min from 12am to 5.59pm",$2.14/entry from 5pm to 11.59pm,"$2.14 for 1st hr, $1.60 for next subsequent 30min from 12am to 5.59pm, $2.14/entry from 5pm to 11.59pm","$2.14 for 1st hr, $1.60 for next subsequent 30min from 12am to 5.59pm, $2.14/entry from 5pm to 11.59pm","31 Kaki Bukit Road 3, S(417818)","1.3357041,103.9055177"
Technolink Centre,$1.00/30min from 8am to 5pm,$1.50/entry from 5pm to 8am the following day,Charges same as weekdays,$1.50/entry,"430 Chai Chee Road, S(469000)","1.324336,103.9230117"
Technopark @ Chai Chee,$1.50/hr from 8am to 5pm,$1.20/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"750 Chai Chee Road, S(469000)","1.3236275,103.9221943"
Techplace 1,"$0.92 for 1st hr, $1.12 for next subsequent hr from 8am to 5pm",$1.74/entry from 5pm to 8am the following day,Charges same as weekdays,Closed,"4008 Ang Mo Kio Avenue 10, S(569625)","1.3599893,103.8564354"
Techpoint,"$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 5pm","$2.14 for 1st hr, $1.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"10 Ang Mo Kio Street 65, S(569059)","1.3898668,103.8492521"
Techview,"$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 10pm","$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 10pm",Charges same as weekdays,Charges same as weekdays,"1 Kaki Bukit View, S(415941)","1.3365593,103.9095051"
Tekka Place,"$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6pm","$3.00/entry from 6pm to 12midnight, $1.00/30min from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,"2 Serangoon Road, S(218227)","1.3050631,103.8514261"
TelePark,$1.00/30min from 7am to 10pm,$1.00/30min from 10.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"5 Tampines Central 6, S(529482)","1.353279,103.9418625"
Teletech Park (Basement Car Park),$1.20/hr from 8am to 8pm,$1.20/hr from 8am to 8pm,Closed,Closed,"20 Science Park Road, S(117674)","1.2866544,103.7816011"
Temasek Club,"$1.20 for the first hr, $0.30 for next subsequent 15min from 7am to 4.59pm","$2.50 for the first hr, $0.30 for next subsequent 15min from 5pm to 7am the following day","$2.50 for the first hr, $0.30 for next subsequent 15min from  7am to 7am the following day","$2.50 for the first hr, $0.30 for next subsequent 15min fromm  7am to 7am the following day","131 Rifle Range Road, S(588406)","1.3465272,103.7806957"
Textile Centre,$2.20/hr from 8am to 5.59pm,$3.00/entry from 6pm to 7.59am the following day,Charges same as weekdays,$3.00/entry from 8am to 7.59am the following day,"200 Jalan Sultan, S(199018)","1.303828,103.8614791"
The Adelphi,"$2.40 for 1st hr, $1.20 for next subsequent 30min from 6am to 5pm",$3.21/entry from 5pm to 1am the following day,Charges same as weekdays,$3.21/entry from 6am to 1am the following day,"1 Coleman Street, S(179803)","1.2913131,103.8512472"
The Alexcier,$2.00/hr from 10.01pm to 6pm the following day,$3.00/entry from 6.01pm to 10pm,"$1.50/hr from 10.01pm to 6pm the following day, $3.00/entry from 6.01pm to 10pm","$1.00/hr from 10.01pm to 6pm the following day, $3.00/entry from 6.01pm to 10pm","237 Alexandra Road, S(159929)","1.2911937,103.8137922"
The Alpha (Science Park II),"$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm","$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm","$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm",Closed,"10 Science Park Road, S(117684)
","1.288347,103.7796998"
The Aquarius,"$0.56 for 1st hr, $1.07 for next subsequent hr from 7.30am to 7.30pm","$0.56 for 1st hr, $1.07 for next subsequent hr from 7.30am to 7.30pm",Closed,Closed,"21 Science Park Road, S(117628)","1.2892176,103.7809673"
The Aries,"$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm",Free parking from 7.30pm to 7.30am the following day,Closed,Closed,"51 Science Park Road, S(117586)","1.2874504,103.7831403"
The Atrium @ Orchard,"$1.60 for 1st hr, $0.50 for next subsequent 15min from 12midnight to 5.59pm from Mon to Thur, $2.57 for 1st 2hr, $0.50 for next subsequent 15min from 12midnight to 5.59pm on Fri an","$3.00/entry from 6pm to 11.59pm from Mon to Thurs, $2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","$3.00 for 1st 2hr, $0.50 for next subsequent 15min from 3am to 5.59pm, $2.57/entry from 6pm to 2.59am the following day","$3.00 for 1st 2hr, $0.50 for next subsequent 15min from 3am to 5.59pm, $2.57/entry from 6pm to 11.59pm","60 Orchard Road, S(238889)","1.2989517,103.8452178"
The Battle Box,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"51 Canning Rise, S(179872)","1.2961714,103.8461722"
The Bencoolen,$1.20/30min from 6am to 5pm,"$1.20/hr from 5pm to 11pm, $3.00/entry from 11pm to 6am the following day",Charges same as weekdays,"$1.20/hr from 6am to 11pm, $3.00/entry from 11pm to 6am the following day","180 Bencoolen Street, S(189646)","1.3017647,103.8531752"
The Brooks I,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm","$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"60 Springside Walk, S(786020)","1.4047655,103.8194607"
The Brooks II,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm","$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"25 Springside Green, S(786015)","1.4036323,103.819076"
The Capricorn,"$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm",Free parking from 7.30pm to 7.30am the following day,Free parking,Free parking,"1 Science Park Road, S(117528)","1.2896695,103.7786133"
The Cathay,"$1.40/30min from 8am to 9.59am, $1.40/hr from 10am to 5.59pm",$3.00/entry from 6pm to 7.59am the following day,"$1.40/hr from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","$1.40/hr from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","2 Handy Road, S(229233)","1.2993784,103.8478027"
The Centrepoint,"$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm","$2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day","$2.00 for 1st hr, $1.50/30min subsequently from 7am to 5pm, $2.00 for 1st hr, $1.50/hr subsequently from 5pm to 7am the following day","$2.00 for 1st hr, $1.50/30min subsequently from 7am to 5pm, $2.00 for 1st hr, $1.50/hr subsequently from 5pm to 7am the following day","176 Orchard Road, S(238843)","1.3024213,103.839922"
The Chevrons,$1.20/hr from 7am to 4.59pm,$2.50/entry from 5pm to 6.59am the following day,$2.50/entry from 7am to 6.59am the following day,$2.50/entry from 7am to 6.59am the following day,"48 Boon Lay Way, S(609961)","1.3310382,103.7482861"
The Church Of True Light,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"25G Perak Road, S(208142)","1.305354,103.8538656"
The Clementi Mall,"$1.60 for 1st hr, $0.80 for next subsequent 30min from 9am to 11pm","$1.60 for 1st hr, $0.80 for next subsequent 30min from 9am to 11pm",Charges same as weekdays,Charges same as weekdays,3155 Commonwealth Avenue West S(129588) ,"1.314918,103.7643089"
The Clift,$1.50/30min from 7am to 5pm,"$3.00/entry from 5pm to 10pm, $5.00/entry from 10pm to 7am the following day","$1.50/30min from 7am to 5pm, $3.00/entry from 5pm to 10pm, $5.00/entry from 10pm to 7am the following day","$3.00/entry from 7am to 10pm, $5.00/entry from 10pm to 7am the following day","21 Mccallum Street, S(069047)","1.2794573,103.8473029"
The Comtech,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"60 Alexandra Terrace, S(118502)","1.276654,103.7981154"
The Concourse,"$3.21 for 1st hr, $1.605 for next subsequent 30min from 7am to 5pm",$4.28/entry from 5pm to 7am the following day,"$3.20 for 1st hr, $1.50 for next subsequent 30min from 7am to 12pm, $4.28/entry from 12pm to 7am the following day",$4/entry after 5pm.,"298 Beach Road, S(199554)","1.3006093,103.8621132"
The Fleming,"$0.56 for 1st hr, $1.07 for next subsequent hr from 7.30am to 7.30pm",-,Free Parking,Free Parking,"59 Science Park Drive, S(118239)","1.29239,103.786749"
The Frontier Community Club,"$2.15 for 1st hr, $1.07 for next subsequent 30min from 8am to 8am the following day","$2.15 for 1st hr, $1.07 for next subsequent 30min from 8am to 8am the following day",Charges same as weekdays,Charges same as weekdays,"60 Jurong West Central 3, S(648346)","1.3404456,103.704392"
"The Galen, Singapore Science Park II","$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm",Free parking from 7.30pm to 7.30am the following day,Free Parking,Free Parking,"61 Science Park Road, S(117525)","1.2865678,103.7840457"
The Gemini,"$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm","$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm",Closed,Closed,"41 Science Park Road, S(117610)","1.288695,103.782857"
The Grandstand,Free Parking,Free Parking,Free Parking,Free Parking,"720 Dunearn Road, S(789631)","1.3322364,103.7946931"
